From ricesim2022 - ciab.000
JDAY		DATE	SRAD	TMAX	TMIN	RAIN	WIND
96	'04/05/2000'	10.2	31	23.8	4.6	7.56
97	'04/06/2000'	21.6	31.3	23.6	0	10.08
98	'04/07/2000'	21.7	31	23.8	0	10.8
99	'04/08/2000'	21.2	31.3	24.1	0	7.2
100	'04/09/2000'	22.4	31.9	24.6	0	6.84
101	'04/10/2000'	18	31.3	23.8	18.5	9.36
102	'04/11/2000'	3.2	30.3	23.9	83.5	8.64
103	'04/12/2000'	22.9	31.2	24.3	4.6	7.2
104	'04/13/2000'	22	31.9	24.2	0	7.56
105	'04/14/2000'	20.9	32.6	24.8	0	6.48
106	'04/15/2000'	17.3	31.6	24.8	34.6	9
107	'04/16/2000'	24.3	31.5	24.5	4.2	7.92
108	'04/17/2000'	15.9	30.9	24.4	3.2	7.56
109	'04/18/2000'	14.4	30.7	24.3	1	11.16
110	'04/19/2000'	15	30.8	24	0	8.64
111	'04/20/2000'	22	31.6	24	0	8.28
112	'04/21/2000'	13.4	31	24.3	3	10.08
113	'04/22/2000'	22	31.6	24.5	0	7.92
114	'04/23/2000'	22.6	32.1	23.8	0	6.48
115	'04/24/2000'	21.5	32.2	24.9	0	6.48
116	'04/25/2000'	20.8	31.5	25	0	8.28
117	'04/26/2000'	21	32	25	1.2	6.12
118	'04/27/2000'	21.4	31.2	24.4	0	8.28
119	'04/28/2000'	21.1	31.4	23.9	0	10.08
120	'04/29/2000'	17.5	30.6	23.7	0	8.28
121	'04/30/2000'	19.9	30.5	24	0	7.56
122	'05/01/2000'	18.5	31.1	24.9	0	6.84
123	'05/02/2000'	17	30.7	24.9	0	9.36
124	'05/03/2000'	22.7	31.8	24.5	0	6.48
125	'05/04/2000'	20.1	31.9	25.5	3.6	4.68
126	'05/05/2000'	21.6	31.7	25.8	12.5	7.56
127	'05/06/2000'	19.2	31.6	25.5	5.3	9.36
128	'05/07/2000'	16.1	31.7	25.3	19.9	10.08
129	'05/08/2000'	14.7	31.8	25.4	11.7	9.36
130	'05/09/2000'	20.1	31.9	25.3	1.2	6.12
131	'05/10/2000'	16.2	32.9	25.3	1.5	5.76
132	'05/11/2000'	20.2	32	25.3	0	8.64
133	'05/12/2000'	18.9	30.9	24.8	0	9
134	'05/13/2000'	19	31.3	24.3	0	9.36
135	'05/14/2000'	21.1	31.3	24.7	0	8.64
136	'05/15/2000'	15.7	31.8	25.1	1	7.2
137	'05/16/2000'	18	32.5	25	0	4.68
138	'05/17/2000'	22.7	32	25.4	0	6.48
139	'05/18/2000'	20.8	32.4	24	0	7.92
140	'05/19/2000'	11.4	30.8	25	24.3	11.52
141	'05/20/2000'	14.6	31	24.9	11.6	8.28
142	'05/21/2000'	14.8	30.3	24.2	3.3	9
143	'05/22/2000'	5.1	30	23.4	20.6	7.2
144	'05/23/2000'	18.7	30.6	23.8	3.5	6.84
145	'05/24/2000'	13.3	29.8	24.1	10.8	6.12
146	'05/25/2000'	19.4	31.4	23.9	4.3	6.84
147	'05/26/2000'	14.7	30.7	23.8	5.3	7.56
148	'05/27/2000'	13.7	29.8	23.6	2	8.28
149	'05/28/2000'	10.2	30.3	24.1	0	8.64
150	'05/29/2000'	19.8	31.2	24.6	15.1	7.56
151	'05/30/2000'	18.7	31.4	24.5	7.8	7.92
152	'05/31/2000'	10.8	29.9	24.3	123.1	10.8
153	'06/01/2000'	5.7	28.5	24	108.6	9.36
154	'06/02/2000'	2.1	28.9	24.1	44.4	7.92
155	'06/03/2000'	16.2	30.1	23.9	3.8	10.44
156	'06/04/2000'	4.9	29.8	24	63.7	11.16
157	'06/05/2000'	11.7	28.7	23.7	17.9	12.24
158	'06/06/2000'	9.6	29.6	23.1	0.3	10.8
159	'06/07/2000'	7.9	30	23.7	0	10.08
160	'06/08/2000'	19.8	30	24.2	0	8.64
161	'06/09/2000'	17	30.4	24.1	3.6	6.84
162	'06/10/2000'	19.4	30.3	24.7	1.6	6.48
163	'06/11/2000'	15	29	24.5	3.6	7.92
164	'06/12/2000'	13.9	29.4	24.2	49	8.28
165	'06/13/2000'	15.6	29.6	23.9	3.4	8.64
166	'06/14/2000'	18.2	30	24.4	0.7	8.28
167	'06/15/2000'	11.8	29.3	24.3	67.1	11.52
168	'06/16/2000'	9.6	28.6	24	15.8	12.24
169	'06/17/2000'	10	29.5	23.4	12.9	11.16
170	'06/18/2000'	16	29.9	24	0.6	9
171	'06/19/2000'	15.6	30	23.5	2.4	9.36
172	'06/20/2000'	10.5	29.3	24	4.9	10.08
173	'06/21/2000'	6.2	28.1	23.1	38.7	10.44
174	'06/22/2000'	1.1	27.4	23.1	51.7	11.16
175	'06/23/2000'	7.4	28.6	22.7	19	8.28
176	'06/24/2000'	11.5	29.2	23.4	1.3	7.56
177	'06/25/2000'	16.6	28.8	23.1	0.9	9.72
178	'06/26/2000'	15.5	29.4	23.5	6.9	8.28
179	'06/27/2000'	13	29	23.7	2.6	10.44
180	'06/28/2000'	15.5	29.6	24	2.1	10.44
181	'06/29/2000'	14.1	29.1	23.8	2.6	10.08
182	'06/30/2000'	5.8	29.2	23.8	81.6	11.88
183	'07/01/2000'	6.6	26.7	22.7	128.7	12.24
184	'07/02/2000'	13.2	28	22.9	20.5	9.72
185	'07/03/2000'	14.5	28	23.3	0	11.16
186	'07/04/2000'	16.2	28.3	22.8	0	12.24
187	'07/05/2000'	19.4	28.1	22.3	0	10.8
188	'07/06/2000'	16.1	28.2	23.4	0.5	7.56
189	'07/07/2000'	18.4	28.4	23.4	0	6.12
190	'07/08/2000'	17.5	28.3	23.4	0.7	10.08
191	'07/09/2000'	12.9	26.8	23.3	9	8.28
192	'07/10/2000'	13.7	28.1	23.2	2.2	12.6
193	'07/11/2000'	15.8	27.6	23.5	0.3	10.8
194	'07/12/2000'	18.1	29.3	23.8	0.3	8.64
195	'07/13/2000'	15.9	28.5	23.3	0.5	9.72
196	'07/14/2000'	11.1	27.8	23.4	0.8	12.96
197	'07/15/2000'	17.2	28.2	23.1	0	11.88
198	'07/16/2000'	18.8	28.5	23.1	0	9.72
199	'07/17/2000'	19.9	28.3	23	0	8.64
200	'07/18/2000'	17.9	28	22.9	0.4	10.44
201	'07/19/2000'	18.6	28.3	22.8	0	10.8
202	'07/20/2000'	20.9	28.5	22.6	0	10.8
203	'07/21/2000'	20.9	28.8	21.6	0	10.08
204	'07/22/2000'	11.7	28.1	22.4	0	10.8
205	'07/23/2000'	16.2	27.9	22.4	0	10.8
206	'07/24/2000'	20.7	28.1	22.2	2	11.52
207	'07/25/2000'	19	27.4	22.9	0	9.72
208	'07/26/2000'	18.2	28.3	22.6	0	7.2
209	'07/27/2000'	18.1	29.4	22.6	0	6.84
210	'07/28/2000'	16.4	28.3	22.5	0	11.16
211	'07/29/2000'	7.9	26	22.4	47.1	14.04
212	'07/30/2000'	16.2	28	22.2	2.1	10.8
213	'07/31/2000'	18.4	29.2	22.3	0	6.48
214	'08/01/2000'	16.5	28.9	22.6	0	8.28
215	'08/02/2000'	11.4	27.9	23.2	19.8	12.6
216	'08/03/2000'	17.2	29	23.1	0	9
217	'08/04/2000'	12.3	27.5	22.8	0	7.2
218	'08/05/2000'	13.9	29.2	22.9	0	6.84
219	'08/06/2000'	14.9	28.3	22.8	2	12.24
220	'08/07/2000'	15.3	28.3	23	0	10.44
221	'08/08/2000'	16	28.6	23.2	0	9.72
222	'08/09/2000'	6.9	26.9	22.9	31.8	11.16
223	'08/10/2000'	13.4	28.3	23	2.7	11.52
224	'08/11/2000'	18.5	28.6	23.2	0	8.28
225	'08/12/2000'	17.7	28.4	23	0	10.44
226	'08/13/2000'	17.7	28.2	23.4	0	9.36
227	'08/14/2000'	13.6	27.8	23.1	10.2	10.8
228	'08/15/2000'	20.9	28.1	22.9	8.3	11.52
229	'08/16/2000'	17.9	29.3	22.9	0	10.44
230	'08/17/2000'	17.3	28.7	22.8	0	11.52
231	'08/18/2000'	17.9	28.3	22.6	0	11.52
232	'08/19/2000'	22.1	28.9	22.8	0	9.72
233	'08/20/2000'	22.5	30	22.7	0	6.48
234	'08/21/2000'	16.7	29.1	22.7	0	11.88
235	'08/22/2000'	13	27.7	22.7	0	10.8
236	'08/23/2000'	12	28	22.6	3.4	11.88
237	'08/24/2000'	15.4	28.8	22.9	0	10.08
238	'08/25/2000'	15.7	29.2	22.9	0	9.36
239	'08/26/2000'	14.1	28.9	23	2	11.52
240	'08/27/2000'	11.9	28.4	23	0	10.8
241	'08/28/2000'	16.4	29.1	23.1	6.1	8.28
242	'08/29/2000'	15.1	28.7	23	0	9.72
243	'08/30/2000'	13.1	29.4	23.2	0	9.36
244	'08/31/2000'	11.8	28.8	22.9	10	10.44
245	'09/01/2000'	18.5	28.7	22.2	0	9
246	'09/02/2000'	10.4	29	23	0	8.28
247	'09/03/2000'	15.5	28.8	22.9	0	9
248	'09/04/2000'	15.7	29	22.9	0	9
249	'09/05/2000'	16.6	29	22.7	2.4	11.88
250	'09/06/2000'	15.2	28.1	22.5	0.4	10.44
251	'09/07/2000'	9.8	29.3	22.3	0	10.08
252	'09/08/2000'	10.5	28.8	22.7	5.6	10.08
253	'09/09/2000'	6.8	28.8	22.3	0.3	13.32
254	'09/10/2000'	9.4	28.8	22.2	0	9.36
255	'09/11/2000'	10.8	28.3	22.1	2	9
256	'09/12/2000'	7.7	27.9	22.2	0	13.32
257	'09/13/2000'	22.8	29.3	22.8	0	7.92
258	'09/14/2000'	17.5	29.4	22.7	0	7.56
259	'09/15/2000'	9.2	28.4	22.6	0	10.08
260	'09/16/2000'	13.5	28.7	22.5	34.2	10.08
261	'09/17/2000'	14.2	29.2	22.6	1.2	8.64
262	'09/18/2000'	13.3	28.8	22.7	0	9.36
263	'09/19/2000'	12	28.4	22.3	0	10.44
264	'09/20/2000'	13	28.7	22.5	0	9.36
265	'09/21/2000'	11.6	28.9	22.2	0.3	7.56
266	'09/22/2000'	14.4	28.6	22.8	0.3	9.36
267	'09/23/2000'	14	27.9	22.7	0.3	12.24
268	'09/24/2000'	8	28.5	22.5	0.7	12.24
269	'09/25/2000'	15	28.4	22.5	0.4	10.44
270	'09/26/2000'	11.9	28.6	22.5	0	9.72
271	'09/27/2000'	12.2	29.2	22.5	0	10.08
272	'09/28/2000'	12.4	28.5	22.6	0.6	12.6
273	'09/29/2000'	13.4	28.4	22.7	0.3	11.52
274	'09/30/2000'	14.7	29.1	23	0	9.36
275	'10/01/2000'	13.4	29.5	23.3	1.1	10.8
276	'10/02/2000'	16	29.8	23.4	1.1	9.36
277	'10/03/2000'	14.9	29.3	23.3	0	10.08
278	'10/04/2000'	12.6	29	23.2	0.5	12.6
279	'10/05/2000'	18.4	30.4	22.9	1	9.36
280	'10/06/2000'	17.5	30.4	23.7	0	8.28
281	'10/07/2000'	16.3	29.5	23.3	1.4	10.44
282	'10/08/2000'	13.6	29.1	23.3	2.9	11.88
283	'10/09/2000'	13.9	29.3	23.3	0.7	11.16
284	'10/10/2000'	13.7	29.8	23.2	1.3	10.44
285	'10/11/2000'	19.7	30.8	23.5	0	9
286	'10/12/2000'	18.2	31.2	23.9	0	6.48
287	'10/13/2000'	18.6	30.7	23.8	0	7.92
288	'10/14/2000'	16.1	29.8	23.6	0	9.36
289	'10/15/2000'	15.8	30.4	23.5	0	7.2
290	'10/16/2000'	17.8	30.1	24	0	8.28
291	'10/17/2000'	17.4	29.8	24	0	8.28
