                time                Date            Rainfall       Inifiltration          Runoff@end        WaterStorage       LeftDischarge      RightDischarge
  44655.5833  04/04/2022        0.0000       26.0314        0.0000        0.0000        0.0000        0.0000
  44655.6250  04/04/2022        0.0000       26.0794        0.0000        0.0000        0.0000        0.0000
  44655.6667  04/04/2022        0.0000       26.2533        0.0000        0.0000        0.0000        0.0000
  44655.7083  04/04/2022        0.0000       26.7459        0.0000        0.0000        0.0000        0.0000
  44655.7500  04/04/2022        0.0000       27.2991        0.0000        0.0000        0.0000        0.0000
  44655.7917  04/04/2022        0.0000       29.9728        0.0000        0.0000        0.0000        0.0000
  44655.8333  04/04/2022        0.0000       30.2051        0.0000        0.0000        0.0000        0.0000
  44655.8750  04/04/2022        0.0000       30.4178        0.0000        0.0000        0.0000        0.0000
  44655.9167  04/04/2022        0.0000       30.2485        0.0000        0.0000        0.0000        0.0000
  44655.9583  04/04/2022        0.0000       30.2539        0.0000        0.0000        0.0000        0.0000
  44656.0000  04/05/2022        0.0000       30.2542        0.0000        0.0000        0.0000        0.0000
  44656.0417  04/05/2022        0.0000       30.2857        0.0000        0.0000        0.0000        0.0000
  44656.0833  04/05/2022        0.0000       30.2982        0.0000        0.0000        0.0000        0.0000
  44656.1250  04/05/2022        0.0000       30.3110        0.0000        0.0000        0.0000        0.0000
  44656.1667  04/05/2022        0.0000       30.3236        0.0000        0.0000        0.0000        0.0000
  44656.2083  04/05/2022        0.0000       30.5201        0.0000        0.0000        0.0000        0.0000
  44656.2500  04/05/2022        0.0000       30.5280        0.0000        0.0000        0.0000        0.0000
  44656.2917  04/05/2022        0.0000       30.5346        0.0000        0.0000        0.0000        0.0000
  44656.3333  04/05/2022        0.0000       30.4875        0.0000        0.0000        0.0000        0.0000
  44656.3750  04/05/2022        0.0000       29.8344        0.0000        0.0000        0.0000        0.0000
  44656.4167  04/05/2022        0.0000       27.8172        0.0000        0.0000        0.0000        0.0000
  44656.4583  04/05/2022        0.0000       27.3616        0.0000        0.0000        0.0000        0.0000
  44656.5000  04/05/2022        0.0000       26.9526        0.0000        0.0000        0.0000        0.0000
  44656.5417  04/05/2022        0.0000       26.8226        0.0000        0.0000        0.0000        0.0000
  44656.5833  04/05/2022        0.0000       26.8878        0.0000        0.0000        0.0000        0.0000
  44656.6250  04/05/2022        0.0000       27.0074        0.0000        0.0000        0.0000        0.0000
  44656.6667  04/05/2022        0.0000       26.8640        0.0000        0.0000        0.0000        0.0000
  44656.7083  04/05/2022        0.0000       27.3356        0.0000        0.0000        0.0000        0.0000
  44656.7500  04/05/2022        0.0000       29.3672        0.0000        0.0000        0.0000        0.0000
  44656.7917  04/05/2022        0.0000       30.0645        0.0000        0.0000        0.0000        0.0000
  44656.8333  04/05/2022        0.0000       30.3271        0.0000        0.0000        0.0000        0.0000
  44656.8750  04/05/2022        0.0000       30.5392        0.0000        0.0000        0.0000        0.0000
  44656.9167  04/05/2022        0.0000       30.5665        0.0000        0.0000        0.0000        0.0000
  44656.9583  04/05/2022        0.0000       30.5746        0.0000        0.0000        0.0000        0.0000
  44657.0000  04/06/2022        0.0000       30.5812        0.0000        0.0000        0.0000        0.0000
  44657.0417  04/06/2022        0.0000       30.5475        0.0000        0.0000        0.0000        0.0000
  44657.0833  04/06/2022        0.0000       30.5564        0.0000        0.0000        0.0000        0.0000
  44657.1250  04/06/2022        0.0000       30.5655        0.0000        0.0000        0.0000        0.0000
